"","PermitNum","PermitClass","PermitClassMapped","PermitTypeMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","EstProjectCost","AppliedDate","IssuedDate","ExpiresDate","CompletedDate","StatusCurrent","OriginalAddress1","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"30422","6694682-CN","Multifamily","Residential","Building","Addition/Alteration","Construct substantial alterations to convert a duplex into a 4-unit apartment, occupy per plan.",2,0,2,340000,"2018-11-21","2019-08-05","2021-02-05","","Issued","1604 AURORA AVE N","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6694682-CN",47.63368119,-122.34323142,"1604 AURORA AVE N
SEATTLE, WA 98109
(47.63368119, -122.34323142)"
"30436","6602659-CN","Multifamily","Residential","Building","New","Establish use as townhouses and construct 5 townhouse units with shared garage and occupy, per plan.",0,0,5,917229,"2018-02-14","2018-11-27","2020-05-27","","Issued","7215 5TH AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6602659-CN",47.68138067,-122.32305822,"7215 5TH AVE NE
SEATTLE, WA 98115
(47.68138067, -122.32305822)"
"30462","6607482-CN","Multifamily","Residential","Building","Addition/Alteration","Construct new apartment building, occupy per plan.",0,0,10,526971,"2018-03-01","2019-01-15","2020-07-15","","Issued","2010 E JANSEN CT","SEATTLE","WA",98112,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6607482-CN",47.61980185,-122.30555948,"2010 E JANSEN CT
SEATTLE, WA 98112
(47.61980185, -122.30555948)"
"30472","6696327-CN","Commercial","Non-Residential","Building","Change of Use Only - No Construction","Establish use as indoor participation sports and construct tenant improvements to 2nd floor of commercial building, VR GO! and occupy, per plan.",0,0,0,36175,"2018-11-29","2019-04-19","2020-10-19","","Completed","115 N 85TH ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6696327-CN",47.6903967,-122.35741842,"115 N 85TH ST
SEATTLE, WA 98103
(47.6903967, -122.35741842)"
"30474","6651471-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct new single family residence with detached accessory dwelling unit (DADU), per plan.",0,0,2,487882,"2018-04-26","2019-05-09","2020-11-09","","Issued","7708 37TH AVE SW","SEATTLE","WA",98126,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6651471-CN",47.53311223,-122.37893777,"7708 37TH AVE SW
SEATTLE, WA 98126
(47.53311223, -122.37893777)"
"30475","6677912-CN","Single Family/Duplex","Residential","Building","New","Construct west building (Establish use and construct 1 single family residence and 1 live-work strucutre, per plan.  Review & process for 2 records under #6677912-CN).",0,0,1,186866,"2018-10-26","2019-07-29","2021-01-29","","Issued","6739 15TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6677912-CN",47.67888315,-122.37705997,"6739 15TH AVE NW
SEATTLE, WA 98117
(47.67888315, -122.37705997)"
"30484","6616461-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct 3rd floor addition and alterations to single family dwelling per plan.",1,0,0,95355,"2018-02-16","2018-12-12","2020-06-12","","Issued","1915 N 120TH ST","SEATTLE","WA",98133,"BHAIRAVI SHAH","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6616461-CN",47.71570725,-122.33477401,"1915 N 120TH ST
SEATTLE, WA 98133
(47.71570725, -122.33477401)"
"30514","6709063-CN","Single Family/Duplex","Residential","Building","New","CONSTRUCTION OF A NEW 2 STORY RESIDENCE WITH BASEMENT AND GARAGE, AND DEMOLITION OF EXISTING RESIDENCE ON THE SITE.",1,0,0,5e+05,"","","","","Additional Info Requested","1207 NW CULBERTSON DR","SEATTLE","WA",98177,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6709063-CN",47.73138271,-122.37132465,"1207 NW CULBERTSON DR
SEATTLE, WA 98177
(47.73138271, -122.37132465)"
"30528","6722284-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to existing institution (West Seattle Church) to install elevator, per plan.",0,0,0,30000,"2019-05-15","2019-06-17","2020-12-17","","Issued","7141 CALIFORNIA AVE SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6722284-CN",47.5386647,-122.3876275,"7141 CALIFORNIA AVE SW
SEATTLE, WA 98136
(47.5386647, -122.3876275)"
"30530","6693605-CN","Single Family/Duplex","Residential","Building","New","Construct a single-family residence, per plan.",0,0,0,472929,"2018-11-19","2019-02-25","2020-08-25","","Issued","421 N 63RD ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693605-CN",47.67441619,-122.35333884,"421 N 63RD ST
SEATTLE, WA 98103
(47.67441619, -122.35333884)"
"30532","6683433-CN","Commercial","Non-Residential","Building","New","Establish use as office and construct pre-manufactured metal office building, occupy per plan.  Mechanical included.",0,0,0,1549103,"2018-10-16","2019-04-23","2020-10-23","","Issued","3422 1ST AVE S","SEATTLE","WA",98134,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6683433-CN",47.57282774,-122.33359521,"3422 1ST AVE S
SEATTLE, WA 98134
(47.57282774, -122.33359521)"
"30558","6702359-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to an existing minor communication utility (AT&T) on the rooftop of existing structure, per plans.",0,0,0,10000,"2019-02-25","2019-06-26","2020-12-26","","Issued","5500 35TH AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6702359-CN",47.66865435,-122.28997481,"5500 35TH AVE NE
SEATTLE, WA 98105
(47.66865435, -122.28997481)"
"30567","6672018-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to portions of existing water supply reservior serving the West Point Wastewater Treatment Plant, per plans. Procedural SEPA conducted by King County.",0,0,0,1e+05,"2018-10-19","2019-04-01","2020-10-01","","Issued","3801 DISCOVERY PARK BLVD","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6672018-CN",47.65760506,-122.4064157,"3801 DISCOVERY PARK BLVD
SEATTLE, WA 98199
(47.65760506, -122.4064157)"
"30569","6710446-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct initial tenant improvements for Amazon retail space on ground floor of existing commercial structure, per plan.",0,0,0,673648,"2019-02-08","2019-05-20","2020-11-20","2019-08-02","Completed","2100 7TH AVE","SEATTLE","WA",98121,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6710446-CN",47.61630006,-122.33903406,"2100 7TH AVE
SEATTLE, WA 98121
(47.61630006, -122.33903406)"
"30594","6640030-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations for an accessory dwelling unit, per plans.",0,0,1,50134,"2018-02-27","2018-06-01","2019-12-01","","Issued","112 N 83RD ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6640030-CN",47.68931465,-122.35734185,"112 N 83RD ST
SEATTLE, WA 98103
(47.68931465, -122.35734185)"
"30597","6706610-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Retain existing foundation, rebuild existing house in same location with addition of approximately 650-675 sf to rear of existing structure. Remove existing garage and shed. Provide parking in rear yard, access via alley.",1,0,0,450000,"","","","","Additional Info Requested","2434 QUEEN ANNE AVE N","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6706610-CN",47.64064538,-122.35659949,"2434 QUEEN ANNE AVE N
SEATTLE, WA 98109
(47.64064538, -122.35659949)"
"30607","6716679-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct second floor addition over part of existing single story single family residence.  Construct new enclosed stair for access to new addition.",1,0,0,160000,"","","","","Scheduled","4026 WILLIAMS AVE W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6716679-CN",47.65674327,-122.39194777,"4026 WILLIAMS AVE W
SEATTLE, WA 98199
(47.65674327, -122.39194777)"
"30611","6684267-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to existing minor telecommunication facility on existing monopole, per plan.",0,0,0,25000,"2019-01-02","2019-02-20","2020-08-20","","Issued","2605 22ND AVE E","SEATTLE","WA",98112,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6684267-CN",47.64340051,-122.30407214,"2605 22ND AVE E
SEATTLE, WA 98112
(47.64340051, -122.30407214)"
"30631","6679600-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Substantial alterations throughout interior of a single-family residence, per plan.",1,0,0,120000,"2018-08-01","2018-10-22","2020-04-22","2019-02-07","Completed","6202 RAVENNA AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6679600-CN",47.67394913,-122.30356384,"6202 RAVENNA AVE NE
SEATTLE, WA 98115
(47.67394913, -122.30356384)"
"30639","6673974-CN","Commercial","Non-Residential","Building","Addition/Alteration","Replace all antennas and remote radio heads to rooftop and new equipment cabinets in existing parking garage for minor communication utility (Sprint), per plan.",0,0,0,45000,"2018-07-12","2018-09-05","2020-03-05","","Issued","200 PIKE ST","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6673974-CN",47.60967895,-122.33880333,"200 PIKE ST
SEATTLE, WA 98101
(47.60967895, -122.33880333)"
"30650","6679940-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations to install push piers to underpin southern portion of foundation of existing single family residence, per plans.",1,0,0,18810,"2018-08-27","2018-12-07","2020-06-07","2019-02-22","Completed","3522 SW 107TH ST","SEATTLE","WA",98146,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6679940-CN",47.50751042,-122.37703576,"3522 SW 107TH ST
SEATTLE, WA 98146
(47.50751042, -122.37703576)"
"30661","6694056-CN","Multifamily","Residential","Building","Addition/Alteration","Replace windows and doors within existing rough openings, replace siding and roofing membrane and roof sheathing, for an existing multifamily building (10th Place Condominium), subject to field inspection (STFI).",8,0,0,426000,"2018-11-20","2018-11-20","2020-05-20","","Issued","520 10TH AVE E","SEATTLE","WA",98102,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6694056-CN",47.62365395,-122.3196378,"520 10TH AVE E
SEATTLE, WA 98102
(47.62365395, -122.3196378)"
"30665","6697807-CN","Single Family/Duplex","Residential","Building","New","Establish use as townhouse and construct two family dwelling, per plan.",0,0,2,441000,"2018-12-10","2019-04-16","2020-10-16","","Issued","3657 22ND AVE W","SEATTLE","WA",98199,"BUILD SOUND LLC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6697807-CN",47.65369457,-122.38521535,"3657 22ND AVE W
SEATTLE, WA 98199
(47.65369457, -122.38521535)"
"30683","6635341-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Partial 2nd story addition and alterations for a single family residence, per plan.",1,0,0,160000,"2018-08-08","2018-09-07","2020-03-07","","Issued","3023 NE 103RD ST","SEATTLE","WA",98125,"NEAL CONST & HOME IMPRVMNT INC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6635341-CN",47.70282058,-122.29516232,"3023 NE 103RD ST
SEATTLE, WA 98125
(47.70282058, -122.29516232)"
"30695","6685452-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct new single family residence, per plan.",0,0,1,411433,"2018-10-29","2019-08-05","2021-02-05","","Issued","8520 30TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6685452-CN",47.69128404,-122.39533188,"8520 30TH AVE NW
SEATTLE, WA 98117
(47.69128404, -122.39533188)"
"30701","6674331-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations to existing single-family residence to add a beam at dining room, per plan",0,0,0,8000,"2018-06-25","2018-08-07","2020-02-07","","Issued","9358 CALIFORNIA AVE SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6674331-CN",47.51855796,-122.38715408,"9358 CALIFORNIA AVE SW
SEATTLE, WA 98136
(47.51855796, -122.38715408)"
"30711","6738448-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Pinpile south and east foundation walls to prevent further settling in southeast corner.",1,0,0,30000,"","","","","Scheduled","4625 46TH AVE S","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6738448-CN",47.56098002,-122.27606256,"4625 46TH AVE S
SEATTLE, WA 98118
(47.56098002, -122.27606256)"
"30740","6630489-CN","Single Family/Duplex","Residential","Building","New","Establish use as single family residence and construct one family dwelling, per plans.",1,0,1,380634,"2018-03-21","2018-07-17","2020-01-17","","Completed","4432 52ND AVE SW","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6630489-CN",47.56384069,-122.39859479,"4432 52ND AVE SW
SEATTLE, WA 98116
(47.56384069, -122.39859479)"
"30745","6668844-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct substantial alteration and addition to single family residence, per plans.",0,0,0,132933,"2018-10-10","2019-03-22","2020-09-22","","Issued","4730 W RUFFNER ST","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6668844-CN",47.65251416,-122.41848358,"4730 W RUFFNER ST
SEATTLE, WA 98199
(47.65251416, -122.41848358)"
"30750","6673991-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Interior remodel of two bathrooms, no change to exterior envelope.",1,0,0,40000,"2018-07-20","2018-07-20","2020-01-20","2019-07-17","Completed","2017 FAIRVIEW AVE E","SEATTLE","WA",98102,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6673991-CN",47.63727005,-122.33007462,"2017 FAIRVIEW AVE E
SEATTLE, WA 98102
(47.63727005, -122.33007462)"
"30753","6695818-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct new three story deck for existing single family residence, per plan.",1,0,0,23908,"2019-03-25","2019-06-10","2020-12-10","","Issued","2710 11TH AVE E","SEATTLE","WA",98102,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6695818-CN",47.64494614,-122.31809015,"2710 11TH AVE E
SEATTLE, WA 98102
(47.64494614, -122.31809015)"
"30759","6694701-CN","Commercial","Non-Residential","Building","Addition/Alteration","Change use to sales and service and construct alterations in existing commercial building, occupy per plan.",0,0,0,250000,"2018-10-20","","","","Corrections Required","1319 E MADISON ST","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6694701-CN",47.61344298,-122.31469551,"1319 E MADISON ST
SEATTLE, WA 98122
(47.61344298, -122.31469551)"
"30770","6520694-CN","Single Family/Duplex","Residential","Building","New","Construct single family dwelling this permit (SW structure). [Establish use as and construct (4) single family dwellings with attached garage per plan.  Process and routing for (4) A/P's with 6520694]",0,0,1,218225,"2017-02-13","2019-03-19","2020-09-19","","Issued","12357 14TH AVE NE","SEATTLE","WA",98125,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6520694-CN",47.71920597,-122.31452411,"12357 14TH AVE NE
SEATTLE, WA 98125
(47.71920597, -122.31452411)"
"30779","6635450-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct a single-family residence, per plan.",0,0,1,446725,"2018-04-27","2018-09-01","2020-03-01","2019-05-29","Completed","2565 9TH AVE W","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6635450-CN",47.64248711,-122.36923934,"2565 9TH AVE W
SEATTLE, WA 98119
(47.64248711, -122.36923934)"
"30784","6673754-CN","Single Family/Duplex","Residential","Building","New","Construct east unit, per plans. (Establish use as and construct 2 single-family residence, per plans. Reviews and processing for 2 construction records under 6673754)",1,0,2,124242,"2018-06-29","2019-04-25","2020-10-25","","Issued","5836 B 16TH AVE S","SEATTLE","WA",98108,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6673754-CN",47.55013907,-122.3118807,"5836 B 16TH AVE S
SEATTLE, WA 98108
(47.55013907, -122.3118807)"
"30788","6694924-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct deck addition and associated alterations to existing single family residence, per plan.",1,0,0,14000,"2019-01-24","2019-03-12","2020-09-12","","Issued","8865 42ND AVE SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6694924-CN",47.52355198,-122.38669271,"8865 42ND AVE SW
SEATTLE, WA 98136
(47.52355198, -122.38669271)"
"30817","6481892-CN","Single Family/Duplex","Residential","Building","New","Construct east two-family dwelling, per plan.  (Establish use as rowhouse and townhouse and construct two two-family dwellings, review and process for 2 AP's under # 6481892.)",0,0,4,226331,"2017-06-01","2018-11-05","2020-05-05","","Issued","3051 60TH AVE SW","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6481892-CN",47.57617644,-122.40974839,"3051 60TH AVE SW
SEATTLE, WA 98116
(47.57617644, -122.40974839)"
"30823","6643311-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct single family residence with attached garage, per plan",0,0,1,548318,"2018-07-13","2019-04-29","2020-10-29","","Issued","4914 49TH AVE S","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6643311-CN",47.55772771,-122.27160914,"4914 49TH AVE S
SEATTLE, WA 98118
(47.55772771, -122.27160914)"
"30829","6710773-CN","Multifamily","Residential","Building","New","To build a 24 story high rise apartment building with 215 apartments, bank and retail use at grade, and three levels of below grade parking. Common amenity space will be located at grade, at the podium deck level and at the top of the building. The project will require demolition of an existing single story concrete commercial building.",0,0,215,5e+07,"","","","","Scheduled","1200 NE 45TH ST","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6710773-CN",47.66148299,-122.31522998,"1200 NE 45TH ST
SEATTLE, WA 98105
(47.66148299, -122.31522998)"
"30837","6673868-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct substantial alterations and additions to single-family residence, per plan.",1,0,0,251004,"2018-10-23","2019-01-11","2020-07-11","","Issued","3828 36TH AVE SW","SEATTLE","WA",98126,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6673868-CN",47.56917372,-122.3771452,"3828 36TH AVE SW
SEATTLE, WA 98126
(47.56917372, -122.3771452)"
"30861","6718283-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and alterations to existing single family residence, per plan.",1,0,0,250000,"2019-05-24","","","","Reviews Completed","6528 BEACH DR SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6718283-CN",47.54438565,-122.3971073,"6528 BEACH DR SW
SEATTLE, WA 98136
(47.54438565, -122.3971073)"
"30873","6741617-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Underpin a portion of the existing foundation of  a single-family residence.",1,0,0,25000,"","","","","Scheduled","603 38TH AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6741617-CN",47.60696119,-122.28542552,"603 38TH AVE
SEATTLE, WA 98122
(47.60696119, -122.28542552)"
"30888","6614222-CN","Commercial","Non-Residential","Building","Addition/Alteration","Change of use from office to eating and drinking and construct substantial alterations to existing commercial building, occupy per plan.",0,0,0,1200000,"2018-05-23","2018-10-16","2020-04-16","","Issued","1111 FAIRVIEW AVE N","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6614222-CN",47.6298524,-122.33041314,"1111 FAIRVIEW AVE N
SEATTLE, WA 98109
(47.6298524, -122.33041314)"
"30909","6621790-CN","Multifamily","Residential","Building","New","Construct west bldg. per plans (Establish use as and construct 2 townhouse buildings, per plans. Reviews and processing for 2 A/P's under 6621790)",0,0,6,552800,"2018-04-09","2019-05-08","2020-11-08","","Issued","918 29TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6621790-CN",47.59384312,-122.29520201,"918 29TH AVE S
SEATTLE, WA 98144
(47.59384312, -122.29520201)"
"30910","6714930-CN","Multifamily","Residential","Building","Addition/Alteration","Alter and repair building enclosure of existing apartment/office building, per plans.",9,0,0,750000,"2019-04-08","2019-08-07","2021-02-07","","Issued","4038 STONE WAY N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6714930-CN",47.65655298,-122.34205514,"4038 STONE WAY N
SEATTLE, WA 98103
(47.65655298, -122.34205514)"
"30914","6679625-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations and two story addition to existing single family residence and addition to existing detached garage, per plan.",1,0,0,230478,"2018-11-06","2019-01-23","2020-07-23","","Issued","2158 E SHELBY ST","SEATTLE","WA",98112,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6679625-CN",47.646646,-122.30189078,"2158 E SHELBY ST
SEATTLE, WA 98112
(47.646646, -122.30189078)"
"30929","6727623-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to an existing commercial building at the rooftop level minor communications antenna facility (Sprint) and at equipment room, per plan.",0,0,0,20000,"2019-06-06","2019-07-03","2021-01-03","","Issued","110 UNION ST","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6727623-CN",47.60821411,-122.33900707,"110 UNION ST
SEATTLE, WA 98101
(47.60821411, -122.33900707)"
"30950","6677841-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct a single-family residence with a detached garage that has detached accessory dwelling unit (DADU) above it, per plan.",0,0,1,405929,"2018-08-13","2019-01-11","2020-07-11","","Issued","8027 18TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6677841-CN",47.6876877,-122.38029982,"8027 18TH AVE NW
SEATTLE, WA 98117
(47.6876877, -122.38029982)"
"30953","6606767-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct north single family residence with surface parking, per plan (Establish use as and construct two single family residences with surface parking, per plan.  2 APs under 6606767)",0,0,2,197248,"2018-02-09","2018-12-19","2020-06-19","","Issued","5251 FAUNTLEROY WAY SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6606767-CN",47.55415885,-122.38219502,"5251 FAUNTLEROY WAY SW
SEATTLE, WA 98136
(47.55415885, -122.38219502)"
"30955","6693951-CN","Commercial","Non-Residential","Building","Addition/Alteration","Change use from general retail sales and service to eating and drinking establishment, and construct initial tenant improvements for restaurant in ground floor of existing commercial structure, occupy per plan.",0,0,0,150000,"2019-04-24","2019-07-11","2021-01-11","","Issued","333 8TH AVE N","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693951-CN",47.62155451,-122.34145342,"333 8TH AVE N
SEATTLE, WA 98109
(47.62155451, -122.34145342)"
"30958","6699344-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to an existing tower for minor communications antenna facility (T-mobile) and at ground level equipment area, per plan.",0,0,0,20000,"2019-01-31","2019-08-16","2021-02-16","","Issued","5148 S DIRECTOR ST","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699344-CN",47.52213506,-122.26782634,"5148 S DIRECTOR ST
SEATTLE, WA 98118
(47.52213506, -122.26782634)"
"30960","6707168-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct initial tenant improvement in office space, per plans",0,0,0,262485,"2019-02-20","2019-08-20","2021-02-20","","Issued","4734 25TH AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6707168-CN",47.66360363,-122.30066338,"4734 25TH AVE NE
SEATTLE, WA 98105
(47.66360363, -122.30066338)"
"30986","6701520-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct 2nd story addition and substantial alterations to existing single family residence, per plan.",1,0,0,250000,"2019-03-26","","","","Corrections Required","3716 30TH AVE W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6701520-CN",47.65374752,-122.39524845,"3716 30TH AVE W
SEATTLE, WA 98199
(47.65374752, -122.39524845)"
"30990","6646999-CN","Commercial","Non-Residential","Building","Addition/Alteration","Establish use as medical offices and construct tenant improvements for medical clinic on the 1st floor of existing mixed use building, occupy per plan.",0,0,0,1500000,"2018-05-03","2018-09-06","2020-03-06","","Completed","210 9TH AVE N","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6646999-CN",47.62002714,-122.33940566,"210 9TH AVE N
SEATTLE, WA 98109
(47.62002714, -122.33940566)"
"30996","6650992-CN","Commercial","Non-Residential","Building","Addition/Alteration","Change of use from medical services to general retail and sales services and construct tenant improvements to existing commercial building on the ground floor NE corner suite 102 (Childish Things), occupy per plan.",0,0,0,35000,"2018-04-24","2018-07-13","2020-01-13","2018-07-31","Approved to Occupy","9776 HOLMAN RD NW","SEATTLE","WA",98117,"PATRICIA ALBERT","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6650992-CN",47.70070275,-122.36252364,"9776 HOLMAN RD NW
SEATTLE, WA 98117
(47.70070275, -122.36252364)"
"31005","6594762-CN","Industrial","Non-Residential","Building","Addition/Alteration","Construct substantial alteration through out existing manufacturing/office building, per plans. Mechanical included.",0,0,0,4700000,"2018-02-02","2018-12-10","2020-06-10","","Issued","3601 6TH AVE S","SEATTLE","WA",98134,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6594762-CN",47.57075987,-122.32725039,"3601 6TH AVE S
SEATTLE, WA 98134
(47.57075987, -122.32725039)"
"31027","6731000-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Replace portions of roof and construct voluntary seismic retrofit to portions of existing single family residence, per plan.",1,0,0,12000,"2019-06-27","2019-08-18","2021-02-18","","Issued","8434 17TH AVE SW","SEATTLE","WA",98106,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6731000-CN",47.52728262,-122.35606519,"8434 17TH AVE SW
SEATTLE, WA 98106
(47.52728262, -122.35606519)"
"31035","6739750-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations to repair and replace existing decks at single family residence, per plan.",1,0,0,86000,"","","","","Additional Info Requested","3808 49TH AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6739750-CN",47.65569292,-122.27431308,"3808 49TH AVE NE
SEATTLE, WA 98105
(47.65569292, -122.27431308)"
"31052","6705664-CN","Commercial","Non-Residential","Building","Addition/Alteration","Install exterior artwork to the east of commercial building, per plan.",0,0,0,250000,"2019-01-16","2019-05-23","2020-11-23","","Issued","609 FAIRVIEW AVE N","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6705664-CN",47.62488719,-122.33470227,"609 FAIRVIEW AVE N
SEATTLE, WA 98109
(47.62488719, -122.33470227)"
